TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,NUMBER_OF_SALES,MONTH_ID,MONTH_NAME,DAY_NAME,TIME_BUCKET,SPEND_BANDS,PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,STORE_LOCATION
45.00,15,100574,202301,Jan,Sun,Morning,High,Coffee,Organic brewed coffee,Brazilian Rg,Lower Manhattan
35.00,14,64655,202301,Jan,Sun,Morning,Med,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Lower Manhattan
45.00,18,105593,202301,Jan,Sun,Morning,High,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Hell's Kitchen
42.00,14,48512,202301,Jan,Sun,Morning,High,Tea,Brewed herbal tea,Peppermint Lg,Hell's Kitchen
27.00,9,64474,202301,Jan,Sun,Morning,Med,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Hell's Kitchen
50.00,20,84470,202301,Jan,Sun,Morning,High,Tea,Brewed Black tea,English Breakfast Rg,Lower Manhattan
27.00,9,24378,202301,Jan,Sun,Morning,Med,Coffee,Gourmet brewed coffee,Ethiopia Rg,Hell's Kitchen
22.05,9,44162,202301,Jan,Sun,Morning,Med,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Lower Manhattan
37.50,15,40837,202301,Jan,Sun,Morning,Med,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Lower Manhattan
30.00,10,36166,202301,Jan,Sun,Morning,Med,Tea,Brewed Green tea,Serenity Green Tea Lg,Hell's Kitchen
19.50,6,40982,202301,Jan,Sun,Morning,low,Bakery,Scone,Ginger Scone,Hell's Kitchen
22.00,11,52916,202301,Jan,Sun,Morning,Med,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Hell's Kitchen
32.00,16,88969,202301,Jan,Sun,Morning,Med,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Astoria
37.50,10,56716,202301,Jan,Sun,Morning,Med,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Astoria
24.00,8,48656,202301,Jan,Sun,Morning,Med,Tea,Brewed Black tea,English Breakfast Lg,Astoria
32.50,13,69248,202301,Jan,Sun,Morning,Med,Tea,Brewed herbal tea,Peppermint Rg,Hell's Kitchen
22.00,11,25585,202301,Jan,Sun,Afternoon,Med,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Astoria
59.50,14,61753,202301,Jan,Sun,Afternoon,High,Coffee,Barista Espresso,Cappuccino Lg,Lower Manhattan
36.00,8,53398,202301,Jan,Sun,Afternoon,Med,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Astoria
21.70,7,17259,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Lower Manhattan
11.00,5,28753,202301,Jan,Sun,Afternoon,low,Coffee,Organic brewed coffee,Brazilian Sm,Hell's Kitchen
16.00,4,16779,202301,Jan,Sun,Afternoon,low,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Hell's Kitchen
66.50,14,60029,202301,Jan,Sun,Morning,Very High,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Hell's Kitchen
30.00,12,40617,202301,Jan,Sun,Morning,Med,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Hell's Kitchen
49.00,14,109863,202301,Jan,Sun,Morning,High,Bakery,Biscotti,Ginger Biscotti,Hell's Kitchen
27.50,11,36190,202301,Jan,Sun,Morning,Med,Tea,Brewed Black tea,Earl Grey Rg,Lower Manhattan
37.50,15,56882,202301,Jan,Sun,Morning,Med,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Lower Manhattan
66.50,14,68272,202301,Jan,Sun,Morning,Very High,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan
26.25,7,52205,202301,Jan,Sun,Morning,Med,Bakery,Pastry,Almond Croissant,Hell's Kitchen
81.00,18,100552,202301,Jan,Sun,Morning,Very High,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Astoria
15.00,6,24431,202301,Jan,Sun,Morning,low,Tea,Brewed Green tea,Serenity Green Tea Rg,Astoria
27.00,9,37736,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Black tea,English Breakfast Lg,Astoria
12.50,5,12693,202301,Jan,Sun,Afternoon,low,Tea,Brewed Black tea,Earl Grey Rg,Hell's Kitchen
33.75,9,53726,202301,Jan,Sun,Afternoon,Med,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Hell's Kitchen
24.00,8,57646,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Astoria
32.00,8,25148,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Astoria
40.80,16,64393,202301,Jan,Sun,Morning,Very High,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Hell's Kitchen
39.00,13,44587,202301,Jan,Sun,Morning,Med,Tea,Brewed herbal tea,Lemon Grass Lg,Lower Manhattan
51.00,17,76309,202301,Jan,Sun,Morning,High,Tea,Brewed herbal tea,Peppermint Lg,Lower Manhattan
52.50,14,76678,202301,Jan,Sun,Morning,High,Bakery,Pastry,Chocolate Croissant,Lower Manhattan
48.75,13,59987,202301,Jan,Sun,Morning,High,Coffee,Barista Espresso,Latte,Hell's Kitchen
45.00,12,48616,202301,Jan,Sun,Morning,High,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Lower Manhattan
40.50,9,76458,202301,Jan,Sun,Morning,Very High,Bakery,Scone,Scottish Cream Scone ,Lower Manhattan
20.00,8,48297,202301,Jan,Sun,Morning,low,Tea,Brewed Green tea,Serenity Green Tea Rg,Hell's Kitchen
67.50,18,93438,202301,Jan,Sun,Morning,Very High,Coffee,Barista Espresso,Latte,Lower Manhattan
45.00,12,36344,202301,Jan,Sun,Morning,High,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Hell's Kitchen
46.50,15,80772,202301,Jan,Sun,Morning,High,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Hell's Kitchen
14.00,4,20343,202301,Jan,Sun,Morning,low,Bakery,Biscotti,Ginger Biscotti,Lower Manhattan
22.75,7,59922,202301,Jan,Sun,Morning,Med,Bakery,Scone,Cranberry Scone,Lower Manhattan
14.00,4,20568,202301,Jan,Sun,Morning,low,Bakery,Pastry,Croissant,Lower Manhattan
36.00,12,56244,202301,Jan,Sun,Morning,Med,Tea,Brewed Green tea,Serenity Green Tea Lg,Astoria
15.00,5,16253,202301,Jan,Sun,Morning,low,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Astoria
30.00,8,53270,202301,Jan,Sun,Afternoon,Med,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Astoria
36.00,12,21990,202301,Jan,Sun,Afternoon,Med,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Hell's Kitchen
5.10,2,4477,202301,Jan,Sun,Afternoon,low,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Lower Manhattan
12.00,4,16736,202301,Jan,Sun,Afternoon,low,Tea,Brewed herbal tea,Peppermint Lg,Hell's Kitchen
9.75,3,28725,202301,Jan,Sun,Afternoon,low,Bakery,Scone,Ginger Scone,Hell's Kitchen
72.00,24,81137,202301,Jan,Sun,Morning,Very High,Tea,Brewed Black tea,Earl Grey Lg,Lower Manhattan
45.60,17,104779,202301,Jan,Sun,Morning,High,Coffee,Barista Espresso,Ouro Brasileiro shot,Lower Manhattan
54.00,12,52415,202301,Jan,Sun,Morning,High,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Hell's Kitchen
17.50,5,32364,202301,Jan,Sun,Morning,low,Bakery,Biscotti,Chocolate Chip Biscotti,Lower Manhattan
66.50,19,84525,202301,Jan,Sun,Morning,Very High,Coffee,Organic brewed coffee,Brazilian Lg,Lower Manhattan
36.00,12,44656,202301,Jan,Sun,Morning,Med,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Hell's Kitchen
51.00,12,40613,202301,Jan,Sun,Morning,High,Coffee,Barista Espresso,Cappuccino Lg,Hell's Kitchen
65.10,21,88395,202301,Jan,Sun,Morning,Very High,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Lower Manhattan
48.75,13,89386,202301,Jan,Sun,Morning,High,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Hell's Kitchen
60.00,16,84321,202301,Jan,Sun,Morning,High,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Lower Manhattan
21.00,6,40536,202301,Jan,Sun,Morning,Med,Bakery,Pastry,Croissant,Astoria
27.00,9,56760,202301,Jan,Sun,Morning,Med,Tea,Brewed herbal tea,Lemon Grass Lg,Astoria
22.00,10,48400,202301,Jan,Sun,Morning,Med,Coffee,Gourmet brewed coffee,Ethiopia Sm,Hell's Kitchen
45.00,12,64504,202301,Jan,Sun,Morning,High,Coffee,Barista Espresso,Cappuccino,Lower Manhattan
35.40,12,89342,202301,Jan,Sun,Morning,Med,Bakery,Scone,Ginger Scone,Lower Manhattan
43.40,14,30201,202301,Jan,Sun,Afternoon,High,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Astoria
10.50,3,12760,202301,Jan,Sun,Afternoon,low,Bakery,Pastry,Croissant,Astoria
7.50,2,376,202301,Jan,Sun,Afternoon,low,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Hell's Kitchen
42.50,17,79346,202301,Jan,Sun,Afternoon,High,Tea,Brewed herbal tea,Peppermint Rg,Astoria
27.00,9,50102,202301,Jan,Sun,Afternoon,Med,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Astoria
30.00,8,37465,202301,Jan,Sun,Afternoon,Med,Coffee,Barista Espresso,Latte,Hell's Kitchen
27.00,9,21461,202301,Jan,Sun,Afternoon,Med,Coffee,Gourmet brewed coffee,Ethiopia Rg,Astoria
52.25,11,57812,202301,Jan,Sun,Afternoon,High,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan
14.00,4,16982,202301,Jan,Sun,Afternoon,low,Bakery,Pastry,Croissant,Lower Manhattan
15.00,5,9151,202301,Jan,Sun,Afternoon,low,Coffee,Organic brewed coffee,Brazilian Rg,Hell's Kitchen
39.00,13,42257,202301,Jan,Sun,Afternoon,Med,Tea,Brewed herbal tea,Lemon Grass Lg,Astoria
18.00,9,45885,202301,Jan,Sun,Afternoon,low,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Astoria
36.00,9,48428,202301,Jan,Sun,Morning,Med,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Lower Manhattan
40.00,16,121138,202301,Jan,Sun,Morning,Med,Tea,Brewed herbal tea,Peppermint Rg,Lower Manhattan
29.75,7,32538,202301,Jan,Sun,Morning,Med,Coffee,Barista Espresso,Cappuccino Lg,Lower Manhattan
48.00,16,56171,202301,Jan,Sun,Morning,High,Coffee,Barista Espresso,Espresso shot,Lower Manhattan
33.75,9,80836,202301,Jan,Sun,Morning,Med,Bakery,Scone,Jumbo Savory Scone,Astoria
18.00,4,15826,202301,Jan,Sun,Morning,low,Bakery,Scone,Scottish Cream Scone ,Hell's Kitchen
47.50,19,133204,202301,Jan,Sun,Morning,High,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Astoria
48.00,16,88958,202301,Jan,Sun,Morning,High,Coffee,Organic brewed coffee,Brazilian Rg,Astoria
27.50,11,64769,202301,Jan,Sun,Morning,Med,Tea,Brewed Black tea,Earl Grey Rg,Astoria
35.00,14,70262,202301,Jan,Sun,Afternoon,Med,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Lower Manhattan
39.00,13,38050,202301,Jan,Sun,Afternoon,Med,Tea,Brewed herbal tea,Lemon Grass Lg,Lower Manhattan
27.90,9,21207,202301,Jan,Sun,Afternoon,Med,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Hell's Kitchen
40.00,16,74751,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Astoria
22.00,10,53669,202301,Jan,Sun,Afternoon,Med,Coffee,Gourmet brewed coffee,Ethiopia Sm,Lower Manhattan
33.00,11,70143,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Green tea,Serenity Green Tea Lg,Astoria
82.50,22,129058,202301,Jan,Sun,Morning,Very High,Coffee,Barista Espresso,Latte,Astoria
48.00,16,96991,202301,Jan,Sun,Morning,High,Coffee,Barista Espresso,Espresso shot,Astoria
61.75,13,94790,202301,Jan,Sun,Afternoon,Very High,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Astoria
10.50,3,12955,202301,Jan,Sun,Afternoon,low,Bakery,Pastry,Croissant,Hell's Kitchen
15.40,7,52962,202301,Jan,Sun,Afternoon,low,Coffee,Gourmet brewed coffee,Ethiopia Sm,Hell's Kitchen
27.50,11,62517,202301,Jan,Sun,Afternoon,Med,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Lower Manhattan
9.00,3,12862,202301,Jan,Sun,Afternoon,low,Tea,Brewed Black tea,Earl Grey Lg,Lower Manhattan
26.25,7,57348,202301,Jan,Sun,Afternoon,Med,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Lower Manhattan
20.00,8,37494,202301,Jan,Sun,Afternoon,low,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Lower Manhattan
35.20,16,84456,202301,Jan,Sun,Morning,Med,Coffee,Organic brewed coffee,Brazilian Sm,Lower Manhattan
42.00,14,76236,202301,Jan,Sun,Morning,High,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Lower Manhattan
51.00,17,84142,202301,Jan,Sun,Morning,High,Tea,Brewed Black tea,Earl Grey Lg,Hell's Kitchen
55.25,13,52734,202301,Jan,Sun,Morning,High,Coffee,Barista Espresso,Latte Rg,Hell's Kitchen
42.00,14,93008,202301,Jan,Sun,Morning,High,Tea,Brewed herbal tea,Peppermint Lg,Astoria
35.00,10,76392,202301,Jan,Sun,Morning,Med,Coffee,Gourmet brewed coffee,Ethiopia Lg,Astoria
22.00,10,69268,202301,Jan,Sun,Morning,Med,Coffee,Organic brewed coffee,Brazilian Sm,Astoria
22.50,9,52771,202301,Jan,Sun,Morning,Med,Tea,Brewed Black tea,Earl Grey Rg,Hell's Kitchen
18.75,5,16068,202301,Jan,Sun,Morning,low,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Astoria
21.00,7,45014,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Green tea,Serenity Green Tea Lg,Hell's Kitchen
49.00,14,90132,202301,Jan,Sun,Afternoon,High,Coffee,Organic brewed coffee,Brazilian Lg,Hell's Kitchen
35.00,14,49818,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Astoria
18.00,6,17348,202301,Jan,Sun,Afternoon,low,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Hell's Kitchen
26.25,7,20824,202301,Jan,Sun,Afternoon,Med,Coffee,Barista Espresso,Latte,Lower Manhattan
25.00,10,53793,202301,Jan,Sun,Afternoon,Med,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Astoria
27.00,9,25352,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Black tea,English Breakfast Lg,Hell's Kitchen
25.00,10,66138,202301,Jan,Sun,Afternoon,Med,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Astoria
14.00,4,16788,202301,Jan,Sun,Afternoon,low,Coffee,Gourmet brewed coffee,Ethiopia Lg,Astoria
30.00,8,29406,202301,Jan,Sun,Afternoon,Med,Coffee,Barista Espresso,Latte,Astoria
21.00,7,41180,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Hell's Kitchen
18.30,6,29268,202301,Jan,Sun,Afternoon,low,Bakery,Scone,Ginger Scone,Lower Manhattan
20.00,8,17501,202301,Jan,Sun,Afternoon,low,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Hell's Kitchen
39.00,13,86481,202301,Jan,Sun,Afternoon,Med,Coffee,Barista Espresso,Espresso shot,Hell's Kitchen
27.00,9,49761,202301,Jan,Sun,Afternoon,Med,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Lower Manhattan
9.00,2,16445,202301,Jan,Sun,Afternoon,low,Bakery,Scone,Scottish Cream Scone ,Hell's Kitchen
15.00,6,21213,202301,Jan,Sun,Afternoon,low,Tea,Brewed herbal tea,Lemon Grass Rg,Hell's Kitchen
20.00,8,37111,202301,Jan,Sun,Afternoon,low,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Hell's Kitchen
21.00,7,13192,202301,Jan,Sun,Afternoon,Med,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Lower Manhattan
15.00,4,8870,202301,Jan,Sun,Afternoon,low,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Lower Manhattan
30.00,12,38426,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Green tea,Serenity Green Tea Rg,Astoria
22.50,9,29188,202301,Jan,Sun,Afternoon,Med,Tea,Brewed herbal tea,Lemon Grass Rg,Astoria
46.20,21,58988,202301,Jan,Sun,Afternoon,High,Coffee,Organic brewed coffee,Brazilian Sm,Lower Manhattan
25.50,10,61730,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria
73.50,21,63446,202301,Jan,Sun,Afternoon,Very High,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Astoria
19.20,7,41318,202301,Jan,Sun,Afternoon,low,Coffee,Barista Espresso,Ouro Brasileiro shot,Lower Manhattan
16.25,5,28999,202301,Jan,Sun,Afternoon,low,Bakery,Biscotti,Hazelnut Biscotti,Astoria
46.50,15,94732,202301,Jan,Sun,Afternoon,High,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Astoria
10.00,5,4812,202301,Jan,Sun,Afternoon,low,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Hell's Kitchen
15.00,5,41033,202301,Jan,Sun,Afternoon,low,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan
9.00,3,8640,202301,Jan,Sun,Afternoon,low,Coffee,Gourmet brewed coffee,Ethiopia Rg,Hell's Kitchen
17.50,5,45923,202301,Jan,Sun,Afternoon,low,Coffee,Gourmet brewed coffee,Ethiopia Lg,Hell's Kitchen
15.00,6,41321,202301,Jan,Sun,Afternoon,low,Tea,Brewed herbal tea,Lemon Grass Rg,Lower Manhattan
25.00,10,34350,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Black tea,English Breakfast Rg,Hell's Kitchen
35.00,10,57432,202301,Jan,Sun,Afternoon,Med,Coffee,Organic brewed coffee,Brazilian Lg,Lower Manhattan
59.50,14,53995,202301,Jan,Sun,Afternoon,High,Coffee,Barista Espresso,Latte Rg,Lower Manhattan
51.00,12,34222,202301,Jan,Sun,Afternoon,High,Coffee,Barista Espresso,Cappuccino Lg,Astoria
15.00,4,32982,202301,Jan,Sun,Afternoon,low,Bakery,Pastry,Chocolate Croissant,Hell's Kitchen
15.00,4,41095,202301,Jan,Sun,Afternoon,low,Bakery,Scone,Jumbo Savory Scone,Astoria
28.50,6,13260,202301,Jan,Sun,Afternoon,Med,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Hell's Kitchen
12.00,4,16913,202301,Jan,Sun,Afternoon,low,Tea,Brewed herbal tea,Peppermint Lg,Lower Manhattan
30.00,10,53950,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Black tea,English Breakfast Lg,Lower Manhattan
25.50,6,12841,202301,Jan,Sun,Afternoon,Med,Coffee,Barista Espresso,Latte Rg,Hell's Kitchen
27.00,9,82075,202301,Jan,Sun,Afternoon,Med,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Astoria
12.50,5,25172,202301,Jan,Sun,Afternoon,low,Tea,Brewed herbal tea,Peppermint Rg,Lower Manhattan
7.35,3,16539,202301,Jan,Sun,Afternoon,low,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Hell's Kitchen
22.50,9,41491,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Black tea,Earl Grey Rg,Astoria
19.60,8,41585,202301,Jan,Sun,Afternoon,low,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Astoria
25.50,6,16847,202301,Jan,Sun,Afternoon,Med,Coffee,Barista Espresso,Latte Rg,Astoria
22.50,6,13263,202301,Jan,Sun,Afternoon,Med,Coffee,Barista Espresso,Cappuccino,Lower Manhattan
10.00,4,16994,202301,Jan,Sun,Afternoon,low,Tea,Brewed Black tea,Earl Grey Rg,Lower Manhattan
19.80,9,53732,202301,Jan,Sun,Afternoon,low,Coffee,Gourmet brewed coffee,Ethiopia Sm,Astoria
10.00,5,16959,202301,Jan,Sun,Afternoon,low,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Lower Manhattan
14.00,4,37034,202301,Jan,Sun,Afternoon,low,Bakery,Biscotti,Ginger Biscotti,Lower Manhattan
28.00,8,21272,202301,Jan,Sun,Afternoon,Med,Bakery,Biscotti,Chocolate Chip Biscotti,Astoria
12.00,4,8756,202301,Jan,Sun,Afternoon,low,Coffee,Barista Espresso,Espresso shot,Lower Manhattan
26.25,7,22077,202301,Jan,Sun,Evening,Med,Coffee,Barista Espresso,Latte,Hell's Kitchen
26.95,11,58859,202301,Jan,Sun,Evening,Med,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Astoria
32.50,13,47536,202301,Jan,Sun,Evening,Med,Tea,Brewed Green tea,Serenity Green Tea Rg,Hell's Kitchen
30.00,12,50929,202301,Jan,Sun,Evening,Med,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Astoria
37.50,14,76257,202301,Jan,Sun,Evening,Med,Coffee,Barista Espresso,Ouro Brasileiro shot,Hell's Kitchen
25.00,10,34863,202301,Jan,Sun,Evening,Med,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Astoria
12.50,5,25173,202301,Jan,Sun,Evening,low,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Hell's Kitchen
28.05,11,39168,202301,Jan,Sun,Evening,Med,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria
22.50,6,17460,202301,Jan,Sun,Evening,Med,Coffee,Barista Espresso,Cappuccino,Lower Manhattan
75.00,20,81488,202301,Jan,Sun,Evening,Very High,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Astoria
25.00,10,55517,202301,Jan,Sun,Evening,Med,Tea,Brewed herbal tea,Peppermint Rg,Astoria
7.65,3,33079,202301,Jan,Sun,Evening,low,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Lower Manhattan
35.00,10,27026,202301,Jan,Sun,Evening,Med,Coffee,Organic brewed coffee,Brazilian Lg,Astoria
10.00,5,37603,202301,Jan,Sun,Evening,low,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Lower Manhattan
17.50,5,29817,202301,Jan,Sun,Evening,low,Coffee,Gourmet brewed coffee,Ethiopia Lg,Astoria
12.50,5,29180,202301,Jan,Sun,Evening,low,Tea,Brewed Green tea,Serenity Green Tea Rg,Lower Manhattan
27.50,11,66967,202301,Jan,Sun,Evening,Med,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Astoria
27.50,11,70784,202301,Jan,Sun,Evening,Med,Tea,Brewed herbal tea,Peppermint Rg,Lower Manhattan
9.00,3,895,202301,Jan,Sun,Evening,low,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan
3.75,1,406,202301,Jan,Sun,Evening,low,Bakery,Pastry,Chocolate Croissant,Lower Manhattan
12.50,5,25197,202301,Jan,Sun,Evening,low,Tea,Brewed Black tea,Earl Grey Rg,Lower Manhattan
49.00,14,63676,202301,Jan,Sun,Evening,High,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Astoria
13.00,4,5237,202301,Jan,Sun,Evening,low,Bakery,Biscotti,Hazelnut Biscotti,Astoria
18.75,5,12854,202301,Jan,Sun,Evening,low,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Lower Manhattan
45.00,10,55255,202301,Jan,Sun,Evening,High,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Astoria
15.40,7,21340,202301,Jan,Sun,Evening,low,Coffee,Gourmet brewed coffee,Ethiopia Sm,Lower Manhattan
12.50,5,16932,202301,Jan,Sun,Afternoon,low,Tea,Brewed Green tea,Serenity Green Tea Rg,Lower Manhattan
20.40,8,41579,202301,Jan,Sun,Afternoon,Very High,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Hell's Kitchen
37.50,10,49499,202301,Jan,Sun,Afternoon,Med,Coffee,Barista Espresso,Cappuccino,Hell's Kitchen
11.25,3,24754,202301,Jan,Sun,Afternoon,low,Bakery,Pastry,Chocolate Croissant,Lower Manhattan
14.70,6,41401,202301,Jan,Sun,Afternoon,low,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Lower Manhattan
13.00,4,25268,202301,Jan,Sun,Afternoon,low,Bakery,Biscotti,Hazelnut Biscotti,Lower Manhattan
18.00,4,45063,202301,Jan,Sun,Afternoon,low,Bakery,Scone,Scottish Cream Scone ,Lower Manhattan
36.00,12,62581,202301,Jan,Sun,Afternoon,Med,Tea,Brewed Black tea,Earl Grey Lg,Hell's Kitchen
16.25,5,33050,202301,Jan,Sun,Afternoon,low,Bakery,Scone,Cranberry Scone,Astoria
